Station Code,River,Station,Country,Latitude,Longitude,Time series start,Time series end,File length (lines)
1426140,BOU,BORON,CI,8.79,-5.88,1979-01,1993-10,5454
1426180,BANDAMA ROUGE,MANKONO,CI,8.1,-6.3,1979-01,1993-12,5515
1426200,BANDAMA,BAFECAO,CI,6.08542,-4.95208,1979-01,1993-12,5515
1426210,BANDAMA,BRIMBO,CI,5.99375,-4.86875,1993-01,1993-12,401
1426250,NZI,ROUTE KATIOLA-DABAKALA,CI,8.24,-4.84,1979-01,1993-12,5515
1426260,NZI,FETEKRO,CI,7.77,-4.68,1979-01,1993-12,5515
1426300,BANDAMA ROUGE,BOUAFLE,CI,6.96,-5.76,1979-01,1993-12,5515
1426320,KAN,DIMBOKRO,CI,6.63,-4.79,1979-01,1993-12,5515
1426340,BANDAMA BLANC,MARABADIASSA,CI,8.11,-5.41,1979-01,1982-12,1497
1426350,NZI,ZIENOA,CI,6,-4.82,1979-04,1993-12,5410
1426380,BANDAMA,TIASSALE,CI,5.88542,-4.82292,1970-01,1996-12,9898
1426600,AGNEBI,AGBOVILLE,CI,5.97,-4.21,1979-01,1993-12,5515
1427100,SIEN,MASSADOUGOU,CI,9.1,-7.36,1979-01,1993-12,5515
1427130,TIENBA,DIOULATIEDOUGOU,CI,9.02,-7.24,1979-01,1993-12,5499
1427150,BOA,VIALADOUGOU,CI,8.51042,-7.19792,1979-01,1993-12,5515
1427160,SASSANDRA,N'GOLODOUGOU,CI,8.38,-7.7,1979-01,1982-12,1497
1427200,SASSANDRA,DABALA,CI,8.4,-7.13,1979-01,1993-12,5515
1427250,BAFING,BADALA,CI,7.85,-7.54,1979-01,1982-12,1497
1427350,SASSANDRA,SEMIEN,CI,7.69,-7.06,1979-01,1993-12,5515
1427370,KO,LOGOUALE,CI,7.09,-7.53,1979-01,1993-12,5515
1427400,NZO,GUIGLO,CI,6.54,-7.48,1979-01,1979-12,401
1427450,SASSANDRA,GUESSABO,CI,6.74,-7,1979-01,1979-12,401
1427500,SASSANDRA,SOUBRE,CI,5.76,-6.6,1970-01,1996-12,9898
1427600,DAVO,DAKPADOU,CI,5.26,-6.06,1979-01,1993-12,5515
1428100,KOLONKOKO,NASSIAN,CI,9.37,-4.5,1979-01,1982-12,1497
1428200,KOMOE,KAFOLO,CI,9.59,-4.29,1979-01,1993-12,5515
1428250,IRINGOU,TEHINI,CI,9.67,-4.12,1979-01,1982-12,1497
1428300,KOMOE,SEREBOU,CI,7.95,-3.94,1979-01,1993-12,5515
1428400,KOMOE,ANIASSUE,CI,6.62,-3.72,1979-01,1994-12,5880
1428500,KOMOE,MBASSO,CI,6.29,-3.49,1970-01,1996-12,9898
1431300,BLACK VOLTA,VONKORO,CI,9.19,-2.71,1979-01,1993-12,5515
1434200,KOUROU KELE,IRADOUGOU,CI,9.7,-7.79,1962-07,1993-12,11538
1434300,BAOULE,DJIRILA,CI,10.06,-7.58,1962-09,1993-12,11477
1434350,BAOULE,SAMATIGUILA,CI,9.84,-7.57,1962-01,1980-12,6961
1434370,BANIFING,ZIEMOUGOULA,CI,9.91,-7.42,1962-07,1993-10,11472
1434390,DEGOU,MANANKORO,CI,10.44,-7.45,1975-06,1993-12,6802
1434500,KOUNDIAN,WAHIRE,CI,10.09,-6.91,1976-01,1993-10,6550
1434510,MAHANDIABANI,WAHIRE,CI,10.09,-6.93,1976-01,1980-12,1863
1434700,MAHANDIABANI,DEBETE,CI,10.631042,-6.657205,1975-07,1993-12,6776
1434740,BAGOE,GUINGUERINI,CI,9.52292,-6.60625,1955-03,1980-12,9460
1434750,NIANGBOUE,PONONDOUGOU,CI,9.51,-6.36,1955-03,1993-11,14166
1434780,BAGOE,TOMBOUGOU 1,CI,9.58125,-6.51042,1955-03,1968-11,5039
1434790,BAGOE,TOMBOUGOU 2,CI,9.57708,-6.51458,1963-01,1978-12,5880
1434810,BAGOE,KOUTO AVAL,CI,9.85,-6.36,1960-06,1993-12,12289
1434820,BAGOE,KOUTO AMONT,CI,9.8833,-6.3667,1970-01,2001-05,11510
1434850,BAGOE,PAPARA,CI,10.63,-6.22,1976-01,1993-12,6611
1448050,DJA,NGBALA,CG,2.02,14.9,-,-,36
1448100,SANGHA,OUESSO,CG,1.62,16.05,-,-,36
1448500,LIKOUALA AUX HERBES,EPENA,CG,1.35,17.48,1978-01,1980-12,1132
1512100,GORGOL EL ABIOD,AGUEILLAT,MR,17.20208,-12.45208,1978-01,1985-12,2958
1512200,OUED GARFA,GHORFA AVAL,MR,15.53,-12.7,1979-01,1985-12,2593
1512300,OUED NIORDE,HARR,MR,15.28,-12.55,1985-01,1985-12,401
1526200,ANKWAO,PRESTEA,GH,5.45,-2.1167,1997-02,2007-02,3712
1526300,PRA,DABOASI,GH,5.1667,-1.6333,1979-01,2006-12,10263
1526800,AYENSU,WINNEBA,GH,5.38,-0.6,-,-,36
1526801,AYENSU,OKYEREKO (W/ROAD),GH,5.3833,-0.6,1979-01,2007-01,10294
1530100,TANOE,ALANDA,GH,5.12,-2.75,1975-02,1978-10,1404
1531050,BLACK VOLTA,LAWRA,GH,10.6333,-2.9167,1975-01,2007-02,11783
1531100,BLACK VOLTA,BAMBOI,GH,8.15,-2.0333,1975-01,2007-02,11775
1531300,PRU,PRANG,GH,7.9833,-0.8833,1998-10,2007-02,3082
1531420,KULPAWN,YAGABA,GH,10.23,-1.2833,1975-01,2007-02,11783
1531430,SISSILI,WIASI,GH,10.33,-1.35,1975-04,2007-02,11672
1531450,WHITE VOLTA,NAWUNI,GH,9.7,-1.08,1975-01,2007-02,11783
1531550,WHITE VOLTA,PWALAGU,GH,10.5833,-0.85,1975-06,2007-02,11629
1531600,WHITE VOLTA,YARUGU,GH,10.98,-0.4,1975-01,2007-02,11780
1531650,RED VOLTA,NANGODI,GH,10.8667,-0.6167,1975-07,2007-02,11593
1531680,DAKA,EKUMDIPE,GH,8.47,-0.22,1975-06,1996-09,7815
1531700,VOLTA,SENCHI(HALCROW),GH,6.2,0.1,-,-,36
1531800,OTI,SABARI,GH,9.28,0.23,1995-08,2007-02,4266
1535100,KABIA,GOUNOU-GAYA,TD,9.69,15.5,1978-05,1990-04,4419
1535110,KABIA,PONT CAROL,TD,9.28,15.5,1978-05,1990-04,4419
1537100,CHARI,NDJAMENA(FORT LAMY),TD,12.12,15.03,1976-05,1991-06,5575
1537120,CHARI,CHAGOUA,TD,12.05,15.05,1983-05,1986-04,1132
1537130,CHARI,MAILAO,TD,11.58,15.28,1983-05,1986-04,1132
1537150,LOGONE,BONGOR,TD,10.27,15.42,1983-06,1986-04,1099
1537170,LIM,OULI BANGALA,TD,7.83,15.83,1978-05,1990-04,4419
1537180,LOGONE,MOUNDOU,TD,8.53,16.07,1983-05,1985-11,969
1537200,LOGONE,LAI,TD,9.4,16.3,1983-05,1986-04,1132
1537250,PENDE,DOBA,TD,8.65,16.83,-,-,36
1537300,CHARI,BOUSSO,TD,10.48,16.72,1984-05,1985-02,328
1537450,OUHAM,MOISSALA,TD,8.33,17.77,1983-06,1984-02,268
1537480,OUHAM,MANDA,TD,9.08958,18.11875,1983-05,1986-04,1132
1537500,CHARI,SARH(FORT ARCHAMBAULT),TD,9.15,18.42,1983-09,1986-04,1009
1537800,WADI `AZUM,AM-TIMAN,TD,11.03,20.28,-,-,36
1615500,RIOCORUBAL,GAOUAL,GN,11.78,-13.2,1978-01,1980-12,1131
1616700,KONKOURE,PONT DE TELIMELE,GN,10.5,-12.9,1954-01,2020-05,24293
1617800,KOLENTE,BADERA,GN,9.87,-12.52,1957-06,2020-07,23094
1617900,KOKOULO,DIAWLA,GN,11.091917,-12.444667,1974-01,2008-09,12728
1619600,MAKONA RIVER,NONGOA,GN,8.5,-10.33,1975-03,2020-05,16548
1622500,NIANDA RIVER,BAC,GN,8.06,-9.07,1978-01,2020-05,15527
1626100,RIOMBE,ANDOK-FOULA,GA,0.37,10.23,-,-,36
1626500,SIO,KPEDJI,TG,6.53,1.01,1978-01,1982-12,1862
1631100,OTI,MANGO,TG,10.3,0.47,-,-,36
1631200,KOUMONGOU,KOUMANGOU,TG,10.2,0.45,-,-,36
1631480,KARA,KPESSIDE,TG,9.62,0.95,-,-,36
1631500,KARA,LAMA KARA,TG,9.53,1.18,1978-01,1982-12,1862
1632500,MONO,CORREKOPE,TG,7.8,1.3,-,-,36
1634100,TINKISSO,DABOLA,GN,10.70625,-11.10208,1964-02,1975-07,4211
1634200,RIVER NIGER,FARANAH,GN,10.0333,-10.75,1955-06,2001-05,16835
1634350,NIANDAN,KISSIDOUGOU,GN,9.18,-10.06,1957-07,1978-12,7886
1634400,RIVER NIGER,KOUROUSSA,GN,10.65,-9.8667,1923-08,2002-11,29004
1634420,NIANDAN,BARO,GN,10.6,-9.73,1947-05,1979-12,11967
1634440,NIANDAN,MOLOKORO,GN,10.4,-9.8,1952-05,1954-12,983
1634500,MILO,KANKAN,GN,10.3833,-9.3,1938-05,2020-05,30017
1634550,MILO,KONSANKORO,GN,9.03,-9,1955-03,1980-12,9474
1634560,MILO,KEROUANE,GN,9.27,-9.02,1970-06,2020-05,18278
1634600,TINKISSO,OUARAN,GN,11.37,-9.61,1954-05,1978-12,9028
1634610,TINKISSO,TINKISSO,GN,11.25,-10.616667,1955-06,1978-12,8651
1634650,RIVER NIGER,TIGUIBERY,GN,11.36458,-9.16042,1952-05,1979-12,10135
1634700,RIVER NIGER,DIALAKORO,GN,11.42,-8.91,1954-05,1980-12,9765
1634800,SANKARANI,MANDIANA,GN,10.63,-8.68,1954-06,1978-12,9016
1643100,OGOOUE,LAMBARENE,GA,-0.68,10.23,-,-,36
1643150,NGOUNIE,FOUGAMOU,GA,-1.21041,10.59375,-,-,36
1643200,OGOOUE,NDJOLE,GA,-0.18,10.77,-,-,36
1643220,NGOUNIE,MOUILA-VAL-MARIE,GA,-1.87708,11.06042,-,-,36
1643250,OGOOUE,PORTES DE L'OKANDA,GA,-0.1,11.61,-,-,36
1643260,LOUETSIE,BAC DE BONGOLO,GA,-2.23,11.5,-,-,36
1643300,OGOOUE,BOOUE,GA,-0.1,11.94,-,-,36
1643320,MVOUNG,OVAN,GA,0.31,12.19,-,-,36
1643350,BOUENGUEDI,KOULAMOUTOU,GA,-1.13,12.47,-,-,36
1643370,LEBIYOU,BAC DE NDJAKONAMOYE,GA,-1.01,12.53,-,-,36
1643400,OGOOUE,LASTOURVILLE,GA,-0.81,12.73,-,-,36
1643420,IVINDO,LOA-LOA,GA,0.51,12.83,-,-,36
1643450,IVINDO,MAKOKOU,GA,0.57,12.86,-,-,36
1643500,OGOOUE,FRANCEVILLE,GA,-1.64,13.53,-,-,36
1643520,MPASSA,BAC D'OKONDJA,GA,-1.63,13.61,-,-,36
1643550,DJOUMOU,BAC D'ONKOUA,GA,-1.69,13.66,-,-,36
1662100,NILE RIVER,DONGOLA,SD,19.18,30.48,-,-,36
1662200,NILE RIVER,HUDEIBA + HASSANAB,SD,17.65,33.65,-,-,36
1662500,NILE RIVER,TAMANIAT,SD,15.95208,32.55625,-,-,36
1726100,KOUFFO,LANHOUNTA,BJ,7.1,1.88,1951-03,1984-12,12383
1731400,PENDJARI,PORGA,BJ,10.92292,0.88125,1952-06,1992-12,14849
1731450,MAGOU,TIELE,BJ,10.72,1.2,1961-06,1992-12,11554
1732100,MONO,ATHIEME,BJ,6.90208,1.60625,1944-07,2007-11,23172
1733100,OUEME,PONT DE BETEROU,BJ,9.19375,2.27292,1952-05,1992-10,14786
1733200,ZOU,ATCHERIGBE,BJ,7.53,2.03,1951-03,1992-10,15219
1733300,OUEME,PONT DE SAVE,BJ,8,2.42,1951-04,1992-10,15198
1733320,OKPARA,KABOUA,BJ,8.25,2.72,1951-03,1992-10,15216
1733400,ZOU,DOME,BJ,7.12,2.33,1952-06,1992-10,14759
1733500,OUEME,SAGON,BJ,7.17,2.43,1951-03,1984-09,12289
1733600,OUEME,BONOU,BJ,6.9,2.45,1948-07,2007-12,21766
1733700,SO,SO-AWA,BJ,6.5,2.4,1952-02,1980-12,10578
1734200,MEKROU,KEROU,BJ,10.86187,2.049091,1990-09,1992-12,889
1734300,MEKROU,KOMPONGOU,BJ,11.4,2.18,1960-01,1992-12,12090
1734400,ALIBORI,ROUTE KANDI-BANIKOARA AMONT,BJ,11.23,2.65,1952-07,1965-10,4888
1734410,ALIBORI,ROUTE KANDI-BANIKOARA AVAL,BJ,11.23,2.65,1962-01,1992-11,11328
1734450,MEKROU,BAROU,BJ,12.35,2.73,1961-03,1979-01,6563
1734480,IRANE,KOUTAKOUKROU,BJ,11.05,3.05,1953-01,1992-08,14498
1734500,RIVER NIGER,MALANVILLE,BJ,11.8667,3.3833,1952-06,2000-09,17660
1734550,SOTA,RTE KANDI-SEGBANA AVAL,BJ,10.98,3.25,1973-01,1986-08,5000
1734560,SOTA,RTE KANDI-SEGBANA AMONT,BJ,10.98,3.25,1952-06,1976-12,8992
1734600,SOTA,COUBERI,BJ,11.75,3.33,1953-05,1992-12,14507
1737080,OUHAM,BOZOUM,CF,6.333333333,16.35,1987-04,1988-03,402
1737100,OUHAM,BEA-BAC,CF,6.483333333,17.08333333,1986-05,1992-09,2380
1737150,OUHAM,BOSSANGOA,CF,6.466666667,17.45,1986-04,1992-03,2228
1737200,FAFA,BOUCA,CF,6.5,18.26666667,1986-04,1994-03,2958
1737210,OUHAM,BATANGAFO,CF,7.3,18.28333333,1987-04,1994-03,2593
1737250,GRIBINGUI,KAGA-BANDORO,CF,7,19.18333333,1986-04,1988-03,767
1737280,KOUKOUROU,KOUKOUROU,CF,7.2,20.01666667,1986-09,1994-02,2773
1737300,BAMINGUI,BAMINGUI,CF,7.34,20.11,1986-04,1994-03,2958
1737700,BAHR AOUK,GOLONGOSSO,CF,9.016666667,19.15,-,-,36
1748500,SANGHA,SALO,CF,3.183333333,16.11666667,1985-04,1994-03,3323
1749030,MBALI LIM,BOALI,CF,4.883333333,18.03333333,1985-04,1988-03,1132
1749050,LOBAYE,M'BATA,CF,3.666666667,18.3,1986-05,1994-03,2928
1749080,MPOKO,BOSSELE-BALI,CF,4.53333333,18.46666667,1985-04,1994-03,3322
1749100,UBANGI,BANGUI,CF,4.366666667,18.58333333,1911-03,2016-12,38689
1749150,OMBELLA,OMBELLA,CF,5.166666667,18.86666667,1987-04,1988-03,397
1749200,TOMI,SIBUT,CF,5.733333333,19.08333333,1986-04,1991-10,2071
1749400,BANGUI KETTE,ALINDAO,CF,5.05,21.2,1987-04,1994-03,2593
1749480,KOTTO,KEMBE,CF,4.6,21.91666667,-,-,36
1749500,MBOMOU,BANGASSOU,CF,4.716666667,22.81666667,1986-05,1994-03,2928
1749510,MBARI,LOUNGOUMBA,CF,4.733333333,22.68333333,1987-04,1994-03,2593
1749550,CHINKO,RAFAI,CF,4.966666667,23.91666667,-,-,36
1749600,MBOMOU,ZEMIO,CF,5.033333333,25.15,1986-04,1994-03,2957
1749700,KERRE,KERRE,CF,5.35,25.75,1986-04,1988-03,759
1749800,OUARRA,OBO,CF,5.4,26.5,1985-04,1994-03,3322
1812100,SENEGAL FLEUVE,DAGANA,SN,16.52,-15.5,-,-,36
1812300,SENEGAL FLEUVE,MATAM,SN,15.65,-13.25,-,-,36
1812500,SENEGAL FLEUVE,BAKEL,SN,14.9,-12.45,1979-05,1989-04,3689
1812600,FALEME RIVIERE,KIDIRA,SN,14.45,-12.22,1979-05,1989-03,3659
1813180,SIMA,SINTHIANG KOUNDARA,SN,13.25,-13.92,1981-05,1984-08,1246
1813200,GAMBIA,GOULOUMBOU,SN,13.47,-13.73,1979-05,1989-04,3679
1813250,NIAOULE,NIAOULE TANOU,SN,13.48,-13.68,1979-05,1985-04,2228
1813300,KOULOUNTOU,GUE DU P.N.N.K.,SN,12.78,-13.48,1979-05,1983-03,1467
1813320,KOULOUNTOU,MISSIRAH GOUNAS,SN,13.2,-13.62,-,-,36
1813350,SANDOUGOU,SINTHIOU MALEME,SN,13.82,-13.9,1981-05,1989-04,2958
1813400,NIERI KO,GOUMBEYEL,SN,13.68,-13.17,1981-05,1983-04,766
1813450,GAMBIA,WASSADOU AVAL,SN,13.35,-13.38,1979-05,1989-04,3689
1813460,GAMBIA,WASSADOU AMONT,SN,13.35,-13.37,1979-05,1989-04,3688
1813500,GAMBIA,SIMENTI,SN,13.03,-13.3,1979-05,1989-02,3627
1813550,DIAGHA,PONT ROUTIER,SN,12.62,-12.77,1979-05,1985-04,2228
1813600,NIOKOLO KOBA,PONT ROUTIER,SN,13.07,-12.73,1977-05,1987-04,3688
1813650,TIOKOYE,PONT ROUTIER,SN,12.57,-12.53,1977-05,1989-04,4409
1813700,GAMBIA,MAKO,SN,12.87,-12.35,1979-05,1989-04,3673
1813750,SILI,PONT ROUTIER,SN,12.53,-12.27,1977-05,1989-04,4419
1813780,GAMBIA,KEDOUGOU,SN,12.55,-12.18,1979-05,1989-04,3689
1813800,DIAGUIRI,PONT ROUTIER,SN,12.63,-12.08,1977-05,1988-12,4299
1814070,RIO GEBA,SONACO,GW,12.43,-14.5,-,-,36
1814400,RIO GEBA,KAYANGA AVAL (PONT WASSADOU),SN,12.83,-14.13,1979-07,1983-04,1417
1815020,RIOCORUBAL,SALTINHO AMONT,GW,11.56,-14.67,-,-,36
1815070,RIOCORUBAL,TCHE-TCHE,GW,11.93,-14.21,-,-,36
1816100,PENTIOR,BOUNGA BAMBARA,SN,14.75,-17.17,1982-05,1983-03,350
1816200,NEMA,NEMA BA,SN,13.73,-16.48,1979-06,1983-04,1446
1816400,CASAMANCE,KOLDA,GW,12.88958,-14.93542,1979-05,1983-04,1497
1816450,MARIGOT DE SARE KOUTAYEL,SARE KOUTAYEL,SN,12.92,-14.88,1981-05,1983-04,766
1816490,TIANGOL DIANGUINA,SARE SARA,SN,12.83,-14.75,1981-05,1983-04,766
1816500,KHORINE,MEDINA OMAR,SN,12.85,-14.73,1977-05,1988-04,4054
1834100,RIVER NIGER,JEBBA,NG,9.18,4.82,-,-,36
1834101,RIVER NIGER,LOKOJA,NG,7.8,6.7667,1970-01,2006-03,13245
