X,Y,Code,Source,Station,Corr FACC1
3.380226514,11.88767648,"1734500",GRDC,MALANVILLE,1536398.000000000000000
6.770994205,7.795909054,"1834101",GRDC,LOKOJA,399664.000000000000000
4.121026496,11.3802764,"1834110",GRDC,YIDERE BODE,1867288.000000000000000
9.745613615,8.19630697,"1835900",GRDC,IBI,306436.999999999941792
11.9705,12.989944,"1837106",GRDC,GEIDAM,149290.000000000000000
11.045444,12.861889,"1837107",GRDC,GASHUA,59203.000000000000000
11.50441216,12.47096721,"1837200",GRDC,DAPCHI,16832.000000000000000
10.03085,12.44065,"1837401",GRDC,HADEJIA,26821.000000000000000
8.82862766059587,11.7963945361939,"1837410",GRDC,WUDIL,20104.000000000000000
9.92101827,12.24579458,"1837420",GRDC,KAFIN HAUSA,645.000000000000000
8.071083638,11.73764571,"1837451",GRDC,CHALLAWA GORGE,4623.000000000000000
10.30542511,12.5791915,"1837560",GRDC,LIKORI,27456.000000000000000
2.27,9.2,"4500105",OUEME,Beterou,11984.000000000000000
2.45410843,6.89593288,"4500107",OUEME,Bonou,56908.000000000000000
2.47,7.22,"4500118",OUEME,ZANGNANADO_Ahlan,45257.000000000000000
2.45502746193871,7.77903080723878,"4500119",OUEME,SAVE_Atchakpa,28649.000000000000000
2.03730928,7.5371262,"4501002",OUEME,Atcherigbe,448.000000000000000
2.33,7.12,"4501005",OUEME,Dome,9759.000000000000000
2.7205632,8.25415362,"4501103",OUEME,Kaboua,11210.000000000000000
-2.23775866500228,8.27969763231956,"1006003",GhanaHydrologicalAuthority,Bui (U/S) on Black Volta,156436.000000000000000
-2.72954960866767,9.1626135170783,"1006007",GhanaHydrologicalAuthority,Chache on Black Volta,142731.000000000000000
0.31698228978356,9.60412532089703,"1010002",GhanaHydrologicalAuthority,Saboba on Oti,66131.000000000000000
-2.4860564278627,6.23683615574559,"3000003",GhanaHydrologicalAuthority,Sefwi-Wiaso on Tano,9390.000000000000000
-2.330278,6.969167,"3000004",GhanaHydrologicalAuthority,Hwidiem on Tano,3295.000000000000000
-1.55330025671762,5.60027502139314,"5000001",GhanaHydrologicalAuthority,Twifo-Praso on Pra,24345.000000000000000
-0.354039969430193,5.81250820793951,"9000005",GhanaHydrologicalAuthority,Nsawam on Densu,1875.000000000000000
-0.312303067995108,6.08723796907088,"9000008",GhanaHydrologicalAuthority,Akwadum on Densu,682.000000000000000
